City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Mountain Home,US,2021-10-22 05:03:48,43.133,-115.6912,66.94,39,75,13.8
208,Kaliua,TZ,2021-10-22 05:03:49,-5.0606,31.7936,75.34,44,100,6.46
209,Teacapan,MX,2021-10-22 05:03:49,22.55,-105.75,79.61,85,2,3.62
210,Kavieng,PG,2021-10-22 05:03:49,-2.5744,150.7967,82.2,75,100,6.85
211,Codrington,AU,2021-10-22 05:01:00,-38.2667,141.9667,56.17,92,94,8.05
212,Richards Bay,ZA,2021-10-22 05:03:50,-28.783,32.0377,70.63,77,100,17.16
213,Boende,CD,2021-10-22 05:03:50,-0.2167,20.8667,69.44,99,100,1.14
214,Aklavik,CA,2021-10-22 05:01:20,68.2191,-135.0107,25.21,84,40,13.02
215,Sao Joao Da Barra,BR,2021-10-22 05:03:51,-21.6403,-41.0511,64.94,81,60,6.91
216,Pandan,PH,2021-10-22 05:03:51,14.0453,124.1694,84.92,70,86,11.39
217,Beloha,MG,2021-10-22 05:03:52,-25.1667,45.05,69.39,54,45,7.81
218,Upernavik,GL,2021-10-22 05:01:49,72.7868,-56.1549,19.44,94,100,9.91
219,Taybad,IR,2021-10-22 05:03:52,34.74,60.7756,47.71,41,27,19.13
220,Lorengau,PG,2021-10-22 05:01:19,-2.0226,147.2712,79.21,84,100,4.27
221,Chokurdakh,RU,2021-10-22 05:03:52,70.6333,147.9167,-12.82,97,53,3.36
222,Drayton Valley,CA,2021-10-22 05:03:53,53.2168,-114.9854,36.91,66,17,6.71
223,Mecca,SA,2021-10-22 05:02:44,21.4267,39.8261,84.94,33,49,2.01
224,Kudahuvadhoo,MV,2021-10-22 05:03:53,2.6708,72.8944,82.2,68,12,7.25
225,Komsomolskiy,UZ,2021-10-22 05:01:17,40.4272,71.7189,48.92,61,100,13.8
226,Saint Anthony,US,2021-10-22 05:03:54,45.0205,-93.218,39.25,79,1,0.0
227,Fortuna,US,2021-10-22 05:02:02,40.5982,-124.1573,58.12,74,90,3.0
228,Pingliang,CN,2021-10-22 05:03:54,35.5392,106.6861,49.66,49,100,14.05
229,Atar,MR,2021-10-22 05:03:55,20.5169,-13.0499,72.63,16,53,7.11
230,Berbera,SO,2021-10-22 05:03:55,10.4396,45.0143,84.31,55,22,2.44
231,Erzin,TR,2021-10-22 05:03:55,36.9559,36.2,54.12,32,0,3.29
232,Aksarka,RU,2021-10-22 05:03:56,66.5606,67.7975,30.0,82,100,9.84
233,Raymondville,US,2021-10-22 05:03:56,26.4815,-97.7831,78.75,80,78,6.89
234,Presidente Medici,BR,2021-10-22 05:03:52,-11.1753,-61.9014,74.14,94,96,3.11
235,Vardo,NO,2021-10-22 05:03:57,70.3705,31.1107,28.6,62,100,25.26
236,La Ronge,CA,2021-10-22 05:03:57,55.1001,-105.2842,31.05,60,0,7.58
237,Karratha,AU,2021-10-22 05:01:46,-20.7377,116.8463,96.03,19,0,13.04
238,Manakara,MG,2021-10-22 05:03:57,-22.1333,48.0167,70.95,84,100,6.82
239,Lompoc,US,2021-10-22 05:01:51,34.6391,-120.4579,61.11,88,90,8.01
240,Ilo,PE,2021-10-22 05:03:58,-17.6394,-71.3375,61.43,80,35,7.25
241,Bowen,AU,2021-10-22 05:03:58,-20.0167,148.2333,80.92,73,37,13.04
242,Bambous Virieux,MU,2021-10-22 05:03:59,-20.3428,57.7575,78.22,75,32,12.59
243,Dingle,PH,2021-10-22 05:03:59,10.9995,122.6711,85.08,74,81,12.3
244,Ponta Do Sol,PT,2021-10-22 05:02:19,32.6667,-17.1,69.71,64,32,4.45
245,Tual,ID,2021-10-22 05:02:18,-5.6667,132.75,83.43,69,59,4.81
246,Bonthe,SL,2021-10-22 05:02:22,7.5264,-12.505,76.68,89,100,1.54
247,Port Macquarie,AU,2021-10-22 05:00:17,-31.4333,152.9167,75.88,67,11,8.23
248,Sawakin,SD,2021-10-22 05:01:52,19.1059,37.3321,81.63,72,70,10.18
249,Ilulissat,GL,2021-10-22 05:02:54,69.2167,-51.1,26.62,86,40,1.14
250,Ruswil,CH,2021-10-22 05:04:00,47.0843,8.1265,50.92,91,75,0.0
