City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
660,Ewa Beach,US,21.3156,-158.0072,78.75,62,1,8.99,clear sky
661,Hobyo,SO,5.3505,48.5268,81.32,72,10,10.65,clear sky
662,Ashtian,IR,34.5217,50.0019,41.67,27,21,9.13,few clouds
663,Harper,LR,4.375,-7.7169,76.87,88,77,5.44,broken clouds
664,Cabedelo,BR,-6.9811,-34.8339,79.47,75,30,11.32,scattered clouds
665,Adre,TD,13.4667,22.2,73.87,28,7,9.64,clear sky
666,Berbera,SO,10.4396,45.0143,83.66,55,6,3.44,clear sky
667,Santa Maria,BR,-29.6842,-53.8069,57.92,97,86,8.01,overcast clouds
668,Maracaibo,VE,10.6317,-71.6406,79.61,82,61,6.96,broken clouds
669,Lumberton,US,34.6182,-79.0086,55.49,59,0,3.49,clear sky
670,Naze,JP,28.3667,129.4833,72.52,63,99,19.71,overcast clouds
671,Tak,TH,16.5833,98.8333,78.51,65,92,3.22,overcast clouds
672,Komsomolskiy,UZ,40.4272,71.7189,56.12,28,0,2.3,clear sky
673,Jawhar,SO,2.7809,45.5005,82.06,67,3,10.2,clear sky
674,Itoman,JP,26.1247,127.6694,80.98,59,40,9.22,scattered clouds
675,Rio Gallegos,AR,-51.6226,-69.2181,39.25,60,0,18.41,clear sky
676,Koksovyy,RU,48.1967,40.5989,45.09,63,74,5.23,broken clouds
677,Tarko-Sale,RU,64.9225,77.785,32.74,96,73,15.32,broken clouds
678,Simpang,ID,-1.2667,104.0833,91.67,54,73,3.62,broken clouds
679,Yauya,PE,-8.9833,-77.3,50.2,84,16,3.27,few clouds
680,Inuvik,CA,68.3499,-133.7218,29.26,86,75,4.61,broken clouds
681,Emba,KZ,48.8264,58.1442,48.51,33,22,14.61,few clouds
682,Kihei,US,20.785,-156.4656,76.84,70,1,14.97,clear sky
683,Guacimo,CR,10.2104,-83.6807,77.58,96,44,2.98,scattered clouds
684,Nabire,ID,-3.3667,135.4833,82.44,77,93,2.59,overcast clouds
685,Mpulungu,ZM,-8.7623,31.1141,82.49,45,95,1.7,overcast clouds
686,Marsh Harbour,BS,26.5412,-77.0636,80.38,74,67,12.15,broken clouds
687,Baiyin,CN,36.5583,104.2081,56.28,48,99,3,overcast clouds
688,Gracac,HR,44.3006,15.8547,47.39,89,8,10.16,clear sky
689,Urusha,RU,54.05,122.9,43.86,57,66,4.45,broken clouds
690,Vodnyy,RU,63.5046,53.4095,26.1,89,53,3.11,broken clouds
691,Chernyshevskiy,RU,63.0128,112.4714,29.93,93,93,10.87,light snow
692,Alta Floresta,BR,-9.8756,-56.0861,72,88,20,2.82,few clouds
693,Alexandria,EG,31.2156,29.9553,70.48,69,2,4.76,clear sky
